Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,fibonacci mean day profit,,,fibonacci mean sum profits,
Moderate_Risk:Fibonacci,0,49.367,1027.826,-886,-29.533,30212.533,,,,,,
Moderate_Risk:Fibonacci,1,45.8,710.717,-2107,-70.233,14213.357,,Mean,-26.295361,,Mean,-788.861
Moderate_Risk:Fibonacci,2,44.333,815.471,-1568,-52.267,34433.03,,Standard Error,1.14608675,,Standard Error,34.38259887
Moderate_Risk:Fibonacci,3,56.867,938.947,-1172,-39.067,27171.168,,Median,-30.883,,Median,-926.5
Moderate_Risk:Fibonacci,4,52.333,987.471,277,9.233,95839.151,,Mode,-100,,Mode,-3000
Moderate_Risk:Fibonacci,5,47,629.31,-2013,-67.1,15963.197,,Standard Deviation,36.24244527,,Standard Deviation,1087.273243
Moderate_Risk:Fibonacci,6,56.167,923.868,-697,-23.233,20968.185,,Sample Variance,1313.514839,,Sample Variance,1182163.105
Moderate_Risk:Fibonacci,7,45.167,783.868,-1249,-41.633,23164.447,,Kurtosis,1.13867543,,Kurtosis,1.138671169
Moderate_Risk:Fibonacci,8,48.1,950.645,-1050,-35,28327.517,,Skewness,0.747655901,,Skewness,0.747655343
Moderate_Risk:Fibonacci,9,54.967,795.413,-1654,-55.133,15046.878,,Range,259.467,,Range,7784
Moderate_Risk:Fibonacci,10,54.467,1149.016,21,0.7,34341.183,,Minimum,-100,,Minimum,-3000
Moderate_Risk:Fibonacci,11,40.633,939.62,-1185,-39.5,31001.983,,Maximum,159.467,,Maximum,4784
Moderate_Risk:Fibonacci,12,53.7,950.286,-758,-25.267,26432.754,,Sum,-26295.361,,Sum,-788861
Moderate_Risk:Fibonacci,13,54.233,1065.909,-204,-6.8,47429.752,,Count,1000,,Count,1000
Moderate_Risk:Fibonacci,14,56.333,909.471,-539,-17.967,37071.964,,,,,,
Moderate_Risk:Fibonacci,15,49,1114.897,51,1.7,55906.493,,,,,,
Moderate_Risk:Fibonacci,16,41.733,787.375,-1465,-48.833,19740.902,,,,,,
Moderate_Risk:Fibonacci,17,51.5,960.121,214,7.133,64414.809,,,,,,
Moderate_Risk:Fibonacci,18,50.433,1013.495,-23,-0.767,40101.426,,,,,,
Moderate_Risk:Fibonacci,19,48.267,984.892,-994,-33.133,29316.947,,,,,,
Moderate_Risk:Fibonacci,20,47.167,1089.868,-887,-29.567,38668.254,,,,,,
Moderate_Risk:Fibonacci,21,47.467,868.878,-1978,-65.933,22099.444,,,,,,
Moderate_Risk:Fibonacci,22,47.233,944.737,-1793,-59.767,15804.806,,,,,,
Moderate_Risk:Fibonacci,23,50.233,1098.323,115,3.833,47832.764,,,,,,
Moderate_Risk:Fibonacci,24,49.467,885.085,-1937,-64.567,8457.426,,,,,,
Moderate_Risk:Fibonacci,25,46.433,983.357,469,15.633,164385.757,,,,,,
Moderate_Risk:Fibonacci,26,57.433,1165.426,1325,44.167,81203.799,,,,,,
Moderate_Risk:Fibonacci,27,52.433,954.392,277,9.233,59575.702,,,,,,
Moderate_Risk:Fibonacci,28,56.767,1098.254,931,31.033,53034.723,,,,,,
Moderate_Risk:Fibonacci,29,54.067,1035.03,-1386,-46.2,15564.924,,,,,,
Moderate_Risk:Fibonacci,30,55.8,980.028,-543,-18.1,38504.231,,,,,,
Moderate_Risk:Fibonacci,31,62.767,897.151,-345,-11.5,38619.293,,,,,,
Moderate_Risk:Fibonacci,32,47.067,770.823,-1927,-64.233,20370.737,,,,,,
Moderate_Risk:Fibonacci,33,48.433,900.461,-942,-31.4,46082.593,,,,,,
Moderate_Risk:Fibonacci,34,52.5,894.121,141,4.7,57745.459,,,,,,
Moderate_Risk:Fibonacci,35,54,1236.069,-1117,-37.233,14830.392,,,,,,
Moderate_Risk:Fibonacci,36,43.267,694.892,-2693,-89.767,2709.22,,,,,,
Moderate_Risk:Fibonacci,37,52.133,805.361,-1897,-63.233,9271.151,,,,,,
Moderate_Risk:Fibonacci,38,42.6,814.179,-648,-21.6,43802.8,,,,,,
Moderate_Risk:Fibonacci,39,52.7,1030.217,-114,-3.8,34472.648,,,,,,
Moderate_Risk:Fibonacci,40,45.867,1107.223,-825,-27.5,28806.879,,,,,,
Moderate_Risk:Fibonacci,41,54.033,693.206,-430,-14.333,41479.885,,,,,,
