Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Martingale,0,55.1,1199.472,351,11.7,37447.321
Moderate_Risk:Martingale,1,38.833,1100.971,-1728,-57.6,16771.972
Moderate_Risk:Martingale,2,43.933,1273.789,-458,-15.267,27787.168
Moderate_Risk:Martingale,3,40.7,1111.114,-974,-32.467,24885.499
Moderate_Risk:Martingale,4,56.167,1286.42,1295,43.167,46199.799
Moderate_Risk:Martingale,5,45.533,1060.395,-1091,-36.367,21517.757
Moderate_Risk:Martingale,6,51.667,1142.782,-165,-5.5,31004.121
Moderate_Risk:Martingale,7,40.767,955.082,-1212,-40.4,24126.386
Moderate_Risk:Martingale,8,41.767,1101.082,-1609,-53.633,17369.137
Moderate_Risk:Martingale,9,43.867,1088.74,-1302,-43.4,22972.662
Moderate_Risk:Martingale,10,38.467,1183.085,-1263,-42.1,20775.886
Moderate_Risk:Martingale,11,57.667,1489.126,1676,55.867,54542.12
Moderate_Risk:Martingale,12,47.3,1613.39,519,17.3,38040.01
Moderate_Risk:Martingale,13,54.1,1535.472,1260,42.0,53712.621
Moderate_Risk:Martingale,14,39.833,1005.73,-1036,-34.533,24602.12
Moderate_Risk:Martingale,15,46.033,1164.447,-170,-5.667,31583.264
Moderate_Risk:Martingale,16,49.4,1180.455,-739,-24.633,30671.551
Moderate_Risk:Martingale,17,47.967,1540.654,285,9.5,41735.017
Moderate_Risk:Martingale,18,60.8,1219.683,1881,62.7,50319.252
Moderate_Risk:Martingale,19,47.6,1272.041,597,19.9,54892.714
Moderate_Risk:Martingale,20,37.967,940.792,-1687,-56.233,13177.633
Moderate_Risk:Martingale,21,49.6,1258.938,-673,-22.433,21562.461
Moderate_Risk:Martingale,22,49.533,1037.706,-617,-20.567,27615.909
Moderate_Risk:Martingale,23,48.567,1227.702,-509,-16.967,30239.137
Moderate_Risk:Martingale,24,49.1,1063.541,-342,-11.4,40387.007
Moderate_Risk:Martingale,25,41.867,952.671,-1735,-57.833,18041.592
Moderate_Risk:Martingale,26,45.833,1117.868,-999,-33.3,24418.217
Moderate_Risk:Martingale,27,46.167,1156.902,-622,-20.733,31675.306
Moderate_Risk:Martingale,28,47.133,1281.775,-1231,-41.033,26610.723
Moderate_Risk:Martingale,29,48.833,1168.144,-1212,-40.4,18848.317
Moderate_Risk:Martingale,30,48.367,1436.516,50,1.667,30475.885
Moderate_Risk:Martingale,31,53.767,828.599,-1601,-53.367,18428.516
Moderate_Risk:Martingale,32,40.733,1296.961,-227,-7.567,36798.875
Moderate_Risk:Martingale,33,46.533,1271.775,-887,-29.567,28406.461
Moderate_Risk:Martingale,34,40.033,848.24,-1722,-57.4,18295.559
Moderate_Risk:Martingale,35,43.3,1268.217,-539,-17.967,30722.309
Moderate_Risk:Martingale,36,44.067,779.582,-1631,-54.367,19784.999
Moderate_Risk:Martingale,37,64.133,1184.051,1577,52.567,44220.737
Moderate_Risk:Martingale,38,42.133,1110.809,-364,-12.133,35564.189
Moderate_Risk:Martingale,39,42.333,1272.851,-1528,-50.933,22626.892
Moderate_Risk:Martingale,40,47.633,1243.964,-175,-5.833,33853.523
