Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Martingale,0,41.267,839.099,-1703,-56.767,17472.323
Moderate_Risk:Fibonacci,0,51.533,1083.706,987,32.9,129457.61
Moderate_Risk:Martingale,1,45.9,1271.955,-604,-20.133,28854.189
Moderate_Risk:Fibonacci,1,51.567,1022.185,-1033,-34.433,22559.22
Moderate_Risk:Martingale,2,54.133,1294.809,869,28.967,43910.033
Moderate_Risk:Fibonacci,2,54.767,956.668,-19,-0.633,46318.378
Moderate_Risk:Martingale,3,52.467,1292.533,-327,-10.9,24969.266
Moderate_Risk:Fibonacci,3,54.333,1219.954,-1079,-35.967,14731.482
Moderate_Risk:Martingale,4,42.367,1201.895,-1659,-55.3,18606.286
Moderate_Risk:Fibonacci,4,58.567,987.909,331,11.033,62071.551
Moderate_Risk:Martingale,5,47.467,1175.775,-1563,-52.1,20193.266
Moderate_Risk:Fibonacci,5,48.8,919.545,-995,-33.167,38929.178
Moderate_Risk:Martingale,6,41.6,1105.352,-506,-16.867,37404.74
Moderate_Risk:Fibonacci,6,34.833,647.523,-2302,-76.733,7843.444
Moderate_Risk:Martingale,7,47.0,1250.138,-541,-18.033,36137.068
Moderate_Risk:Fibonacci,7,48.733,945.099,-423,-14.1,69260.438
Moderate_Risk:Martingale,8,45.967,936.654,-670,-22.333,32510.713
Moderate_Risk:Fibonacci,8,43.8,653.752,-2332,-77.733,7194.133
Moderate_Risk:Martingale,9,45.9,1212.024,-1136,-37.867,18536.533
Moderate_Risk:Fibonacci,9,51.4,851.421,-1296,-43.2,26617.062
Moderate_Risk:Martingale,10,35.267,1048.892,-1666,-55.533,19016.464
Moderate_Risk:Fibonacci,10,41.333,761.333,-2654,-88.467,3990.533
Moderate_Risk:Martingale,11,47.0,1188.552,-125,-4.167,38771.937
Moderate_Risk:Fibonacci,11,49.967,1066.24,-645,-21.5,46128.534
Moderate_Risk:Martingale,12,41.733,1109.651,-2192,-73.067,8972.409
Moderate_Risk:Fibonacci,12,46.567,835.564,-2412,-80.4,5691.214
Moderate_Risk:Martingale,13,52.933,1023.857,-1121,-37.367,25680.378
Moderate_Risk:Fibonacci,13,52.9,660.093,-1560,-52.0,23254.0
Moderate_Risk:Martingale,14,42.733,1132.823,-796,-26.533,28321.913
Moderate_Risk:Fibonacci,14,42.6,750.8,-1506,-50.2,27562.579
Moderate_Risk:Martingale,15,45.633,1105.757,-861,-28.7,26567.114
Moderate_Risk:Fibonacci,15,49.433,1094.737,-964,-32.133,22754.326
Moderate_Risk:Martingale,16,50.933,1351.857,-892,-29.733,27139.857
Moderate_Risk:Fibonacci,16,57.7,1179.39,0,0.0,44770.69
Moderate_Risk:Martingale,17,44.7,952.493,-1691,-56.367,18350.378
Moderate_Risk:Fibonacci,17,49.933,735.789,-1754,-58.467,11898.051
