Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Dalembert,0,79.2,680.993,-1393,-46.433,3810.875,,Column1,
Low_Risk:Dalembert,1,88.767,527.013,-540,-18,4188.552,,,
Low_Risk:Dalembert,2,87.133,472.189,-980,-32.667,3729.954,,Mean,-26.446462
Low_Risk:Dalembert,3,84.867,464.878,-1119,-37.3,4247.321,,Standard Error,0.367115921
Low_Risk:Dalembert,4,89.9,445.955,-589,-19.633,4465.826,,Median,-26.3
Low_Risk:Dalembert,5,86.133,775.154,-744,-24.8,3527.959,,Mode,-21.8
Low_Risk:Dalembert,6,95.9,102.438,-274,-9.133,3344.671,,Standard Deviation,11.60922475
Low_Risk:Dalembert,7,86.3,385.183,-1307,-43.567,3782.944,,Sample Variance,134.7740992
Low_Risk:Dalembert,8,83.933,436.478,-1165,-38.833,4391.592,,Kurtosis,0.030937517
Low_Risk:Dalembert,9,93.267,316.409,-130,-4.333,3278.575,,Skewness,-0.153240154
Low_Risk:Dalembert,10,81.7,577.941,-948,-31.6,4237.766,,Range,70.633
Low_Risk:Dalembert,11,89.033,447.62,-431,-14.367,3305.551,,Minimum,-64.9
Low_Risk:Dalembert,12,89.167,343.799,-1309,-43.633,4127.689,,Maximum,5.733
Low_Risk:Dalembert,13,87.533,640.809,-698,-23.267,3684.478,,Sum,-26446.462
Low_Risk:Dalembert,14,85.533,473.982,-830,-27.667,4466.575,,Count,1000
Low_Risk:Dalembert,15,89.167,323.109,-718,-23.933,3370.685,,,
Low_Risk:Dalembert,16,92.3,222.493,-346,-11.533,3658.533,,,
Low_Risk:Dalembert,17,91.6,278.869,-603,-20.1,3795.128,,,
Low_Risk:Dalembert,18,90.3,492.631,-720,-24,3426.483,,,
Low_Risk:Dalembert,19,89.7,257.183,-818,-27.267,4079.789,,,
Low_Risk:Dalembert,20,84.233,632.875,-754,-25.133,4290.464,,,
Low_Risk:Dalembert,21,87.1,470.162,-778,-25.933,4147.72,,,
Low_Risk:Dalembert,22,88.9,320.438,-1309,-43.633,3507.62,,,
Low_Risk:Dalembert,23,88.733,376.547,-937,-31.233,3563.082,,,
Low_Risk:Dalembert,24,83.2,632.234,-881,-29.367,4524.516,,,
Low_Risk:Dalembert,25,92.233,232.944,-732,-24.4,4431.076,,,
Low_Risk:Dalembert,26,79.767,587.151,-1473,-49.1,3980.024,,,
Low_Risk:Dalembert,27,88.433,353.289,-864,-28.8,4112.786,,,
Low_Risk:Dalembert,28,82.9,690.783,-1117,-37.233,3656.461,,,
Low_Risk:Dalembert,29,84.267,462.409,-1253,-41.767,4322.047,,,
Low_Risk:Dalembert,30,84.4,492.248,-833,-27.767,4597.909,,,
Low_Risk:Dalembert,31,87.333,451.402,-549,-18.3,4216.148,,,
Low_Risk:Dalembert,32,92.567,343.771,-63,-2.1,3495.266,,,
Low_Risk:Dalembert,33,94.4,193.214,-254,-8.467,3568.189,,,
Low_Risk:Dalembert,34,87.5,535.5,-695,-23.167,4109.799,,,
Low_Risk:Dalembert,35,86.067,449.926,-1101,-36.7,3827.528,,,
Low_Risk:Dalembert,36,90.033,415.068,-464,-15.467,3657.085,,,
Low_Risk:Dalembert,37,83.833,640.557,-1022,-34.067,4082.685,,,
Low_Risk:Dalembert,38,84.233,510.461,-748,-24.933,4570.547,,,
Low_Risk:Dalembert,39,91.033,314.171,-499,-16.633,3996.102,,,
Low_Risk:Dalembert,40,82.267,556.685,-1541,-51.367,3963.551,,,
Low_Risk:Dalembert,41,87.1,425.128,-884,-29.467,4019.361,,,
Low_Risk:Dalembert,42,86.433,577.082,-610,-20.333,4156.506,,,
Low_Risk:Dalembert,43,88.3,542.838,-753,-25.1,3472.99,,,
Low_Risk:Dalembert,44,84.767,520.392,-953,-31.767,4048.254,,,
Low_Risk:Dalembert,45,90.767,398.116,-246,-8.2,3716.372,,,
Low_Risk:Dalembert,46,95.2,208.786,-104,-3.467,3225.499,,,
Low_Risk:Dalembert,47,93.5,201.776,-679,-22.633,3516.585,,,
Low_Risk:Dalembert,48,95.2,193.683,-260,-8.667,3233.126,,,
Low_Risk:Dalembert,49,94.133,197.706,-495,-16.5,4224.81,,,
Low_Risk:Dalembert,50,86.5,567.086,-852,-28.4,3578.869,,,
Low_Risk:Dalembert,51,83.9,536.921,-1183,-39.433,4112.047,,,
Low_Risk:Dalembert,52,84.667,601.954,-524,-17.467,4141.361,,,
Low_Risk:Dalembert,53,89.533,481.223,-347,-11.567,3455.771,,,
Low_Risk:Dalembert,54,86.267,575.513,-902,-30.067,3611.444,,,
Low_Risk:Dalembert,55,91.267,388.892,-249,-8.3,3095.39,,,
Low_Risk:Dalembert,56,89.767,580.599,-454,-15.133,3511.43,,,
Low_Risk:Dalembert,57,87.867,422.189,-721,-24.033,4430.516,,,
Low_Risk:Dalembert,58,95.067,233.995,-245,-8.167,2910.557,,,
Low_Risk:Dalembert,59,95.733,148.685,-171,-5.7,3325.252,,,
Low_Risk:Dalembert,60,92.7,256.907,-492,-16.4,4055.903,,,
Low_Risk:Dalembert,61,88.5,473.845,-654,-21.8,3480.234,,,
Low_Risk:Dalembert,62,91.067,404.616,-240,-8,4309.379,,,
Low_Risk:Dalembert,63,86.267,471.306,-833,-27.767,3894.806,,,
Low_Risk:Dalembert,64,88.1,361.955,-1126,-37.533,2801.982,,,
Low_Risk:Dalembert,65,89.733,357.375,-997,-33.233,3378.461,,,
Low_Risk:Dalembert,66,92.933,254.685,-913,-30.433,3214.53,,,
Low_Risk:Dalembert,67,84.9,484.714,-948,-31.6,3821.352,,,
Low_Risk:Dalembert,68,92.967,250.723,-546,-18.2,3802.028,,,
