Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Low_Risk:Dalembert,0,100.0,0.0,-155.0,-5.167,52.902
Low_Risk:Dalembert,1,100.0,0.0,-220.0,-7.333,47.471
Low_Risk:Dalembert,2,100.0,0.0,-226.0,-7.533,55.43
Low_Risk:Dalembert,3,100.0,0.0,-286.0,-9.533,60.051
Low_Risk:Dalembert,4,100.0,0.0,-297.0,-9.9,72.231
Low_Risk:Dalembert,5,100.0,0.0,-252.0,-8.4,59.49
Low_Risk:Dalembert,6,100.0,0.0,-210.0,-7.0,59.448
Low_Risk:Dalembert,7,100.0,0.0,-228.0,-7.6,59.628
Low_Risk:Dalembert,8,100.0,0.0,-227.0,-7.567,77.84
Low_Risk:Dalembert,9,100.0,0.0,-272.0,-9.067,49.789
Low_Risk:Dalembert,10,100.0,0.0,-258.0,-8.6,69.007
Low_Risk:Dalembert,11,100.0,0.0,-341.0,-11.367,57.895
Low_Risk:Dalembert,12,100.0,0.0,-230.0,-7.667,50.782
Low_Risk:Dalembert,13,100.0,0.0,-217.0,-7.233,45.357
Low_Risk:Dalembert,14,100.0,0.0,-194.0,-6.467,40.602
Low_Risk:Dalembert,15,100.0,0.0,-283.0,-9.433,68.116
Low_Risk:Dalembert,16,100.0,0.0,-244.0,-8.133,52.395
Low_Risk:Dalembert,17,100.0,0.0,-269.0,-8.967,61.757
Low_Risk:Dalembert,18,100.0,0.0,-287.0,-9.567,52.53
Low_Risk:Dalembert,19,100.0,0.0,-165.0,-5.5,52.397
Low_Risk:Dalembert,20,100.0,0.0,-233.0,-7.767,32.806
Low_Risk:Dalembert,21,100.0,0.0,-202.0,-6.733,53.168
Low_Risk:Dalembert,22,100.0,0.0,-271.0,-9.033,84.171
Low_Risk:Dalembert,23,100.0,0.0,-260.0,-8.667,67.885
Low_Risk:Dalembert,24,100.0,0.0,-235.0,-7.833,36.626
Low_Risk:Dalembert,25,100.0,0.0,-224.0,-7.467,53.361
Low_Risk:Dalembert,26,100.0,0.0,-268.0,-8.933,49.72
Low_Risk:Dalembert,27,100.0,0.0,-274.0,-9.133,64.464
Low_Risk:Dalembert,28,100.0,0.0,-167.0,-5.567,56.944
Low_Risk:Dalembert,29,100.0,0.0,-202.0,-6.733,69.926
Low_Risk:Dalembert,30,100.0,0.0,-193.0,-6.433,49.564
Low_Risk:Dalembert,31,100.0,0.0,-212.0,-7.067,65.237
Low_Risk:Dalembert,32,100.0,0.0,-263.0,-8.767,57.702
Low_Risk:Dalembert,33,100.0,0.0,-185.0,-6.167,32.695
Low_Risk:Dalembert,34,100.0,0.0,-240.0,-8.0,43.172
Low_Risk:Dalembert,35,100.0,0.0,-284.0,-9.467,110.671
