Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Flat-Bet,0,100,0,-122,-4.067,88.133,,Column1,
Low_Risk:Flat-Bet,1,100,0,-226,-7.533,102.257,,,
Low_Risk:Flat-Bet,2,100,0,-114,-3.8,94.717,,Mean,-5.398193
Low_Risk:Flat-Bet,3,100,0,-126,-4.2,108.234,,Standard Error,0.059215372
Low_Risk:Flat-Bet,4,100,0,-144,-4.8,91.752,,Median,-5.333
Low_Risk:Flat-Bet,5,100,0,-126,-4.2,100.51,,Mode,-5.133
Low_Risk:Flat-Bet,6,100,0,-222,-7.4,106.248,,Standard Deviation,1.872554483
Low_Risk:Flat-Bet,7,100,0,-276,-9.2,72.993,,Sample Variance,3.506460292
Low_Risk:Flat-Bet,8,100,0,-206,-6.867,84.878,,Kurtosis,0.040143259
Low_Risk:Flat-Bet,9,100,0,-192,-6.4,61.352,,Skewness,-0.019500943
Low_Risk:Flat-Bet,10,100,0,-166,-5.533,98.12,,Range,12.334
Low_Risk:Flat-Bet,11,100,0,-126,-4.2,109.338,,Minimum,-12.067
Low_Risk:Flat-Bet,12,100,0,-216,-7.2,76.028,,Maximum,0.267
Low_Risk:Flat-Bet,13,100,0,-164,-5.467,109.223,,Sum,-5398.193
Low_Risk:Flat-Bet,14,100,0,-220,-7.333,82.575,,Count,1000
Low_Risk:Flat-Bet,15,100,0,-88,-2.933,42.409,,,
Low_Risk:Flat-Bet,16,100,0,-188,-6.267,90.961,,,
Low_Risk:Flat-Bet,17,100,0,-194,-6.467,123.499,,,
Low_Risk:Flat-Bet,18,100,0,-166,-5.533,87.637,,,
Low_Risk:Flat-Bet,19,100,0,-58,-1.933,105.237,,,
Low_Risk:Flat-Bet,20,100,0,-84,-2.8,91.476,,,
Low_Risk:Flat-Bet,21,100,0,-138,-4.6,95.49,,,
Low_Risk:Flat-Bet,22,100,0,-60,-2,83.586,,,
Low_Risk:Flat-Bet,23,100,0,-198,-6.6,132.731,,,
Low_Risk:Flat-Bet,24,100,0,-156,-5.2,95.89,,,
Low_Risk:Flat-Bet,25,100,0,-184,-6.133,102.326,,,
Low_Risk:Flat-Bet,26,100,0,-156,-5.2,53.959,,,
