Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Flat-Bet,0,100,0,-196,-6.533,32.326,,Column1,
Low_Risk:Flat-Bet,1,100,0,-197,-6.567,25.151,,,
Low_Risk:Flat-Bet,2,100,0,-215,-7.167,24.557,,Mean,-6.590708
Low_Risk:Flat-Bet,3,100,0,-214,-7.133,26.878,,Standard Error,0.029694913
Low_Risk:Flat-Bet,4,100,0,-249,-8.3,19.252,,Median,-6.567
Low_Risk:Flat-Bet,5,100,0,-274,-9.133,25.085,,Mode,-6.2
Low_Risk:Flat-Bet,6,100,0,-205,-6.833,20.902,,Standard Deviation,0.939035609
Low_Risk:Flat-Bet,7,100,0,-164,-5.467,37.43,,Sample Variance,0.881787875
Low_Risk:Flat-Bet,8,100,0,-222,-7.4,31.421,,Kurtosis,0.087765396
Low_Risk:Flat-Bet,9,100,0,-191,-6.367,24.654,,Skewness,-0.023047645
Low_Risk:Flat-Bet,10,100,0,-208,-6.933,28.892,,Range,6.867
Low_Risk:Flat-Bet,11,100,0,-166,-5.533,19.775,,Minimum,-9.6
Low_Risk:Flat-Bet,12,100,0,-213,-7.1,21.955,,Maximum,-2.733
Low_Risk:Flat-Bet,13,100,0,-157,-5.233,29.357,,Sum,-6590.708
Low_Risk:Flat-Bet,14,100,0,-204,-6.8,28.234,,Count,1000
Low_Risk:Flat-Bet,15,100,0,-198,-6.6,22.248,,,
Low_Risk:Flat-Bet,16,100,0,-161,-5.367,28.654,,,
Low_Risk:Flat-Bet,17,100,0,-219,-7.3,21.872,,,
Low_Risk:Flat-Bet,18,100,0,-207,-6.9,26.024,,,
Low_Risk:Flat-Bet,19,100,0,-157,-5.233,34.185,,,
Low_Risk:Flat-Bet,20,100,0,-188,-6.267,22.547,,,
Low_Risk:Flat-Bet,21,100,0,-174,-5.8,30.648,,,
Low_Risk:Flat-Bet,22,100,0,-220,-7.333,33.54,,,
Low_Risk:Flat-Bet,23,100,0,-175,-5.833,25.454,,,
Low_Risk:Flat-Bet,24,100,0,-179,-5.967,26.93,,,
Low_Risk:Flat-Bet,25,100,0,-197,-6.567,22.599,,,
Low_Risk:Flat-Bet,26,100,0,-212,-7.067,25.72,,,
Low_Risk:Flat-Bet,27,100,0,-234,-7.8,22.855,,,
Low_Risk:Flat-Bet,28,100,0,-162,-5.4,46.317,,,
Low_Risk:Flat-Bet,29,100,0,-227,-7.567,22.116,,,
Low_Risk:Flat-Bet,30,100,0,-174,-5.8,23.752,,,
Low_Risk:Flat-Bet,31,100,0,-253,-8.433,26.461,,,
Low_Risk:Flat-Bet,32,100,0,-198,-6.6,19.766,,,
Low_Risk:Flat-Bet,33,100,0,-197,-6.567,30.116,,,
Low_Risk:Flat-Bet,34,100,0,-179,-5.967,24.654,,,
Low_Risk:Flat-Bet,35,100,0,-205,-6.833,23.247,,,
Low_Risk:Flat-Bet,36,100,0,-151,-5.033,35.689,,,
Low_Risk:Flat-Bet,37,100,0,-182,-6.067,32.892,,,
Low_Risk:Flat-Bet,38,100,0,-222,-7.4,33.283,,,
Low_Risk:Flat-Bet,39,100,0,-156,-5.2,27.752,,,
Low_Risk:Flat-Bet,40,100,0,-129,-4.3,16.631,,,
Low_Risk:Flat-Bet,41,100,0,-191,-6.367,14.447,,,
Low_Risk:Flat-Bet,42,100,0,-188,-6.267,21.306,,,
Low_Risk:Flat-Bet,43,100,0,-215,-7.167,17.868,,,
Low_Risk:Flat-Bet,44,100,0,-194,-6.467,18.602,,,
Low_Risk:Flat-Bet,45,100,0,-205,-6.833,43.799,,,
Low_Risk:Flat-Bet,46,100,0,-175,-5.833,29.247,,,
Low_Risk:Flat-Bet,47,100,0,-204,-6.8,36.717,,,
Low_Risk:Flat-Bet,48,100,0,-203,-6.767,24.047,,,
Low_Risk:Flat-Bet,49,100,0,-237,-7.9,23.059,,,
Low_Risk:Flat-Bet,50,100,0,-175,-5.833,18.557,,,
Low_Risk:Flat-Bet,51,100,0,-125,-4.167,19.523,,,
Low_Risk:Flat-Bet,52,100,0,-163,-5.433,23.495,,,
Low_Risk:Flat-Bet,53,100,0,-213,-7.1,23.886,,,
Low_Risk:Flat-Bet,54,100,0,-181,-6.033,24.447,,,
Low_Risk:Flat-Bet,55,100,0,-191,-6.367,24.723,,,
Low_Risk:Flat-Bet,56,100,0,-217,-7.233,25.909,,,
Low_Risk:Flat-Bet,57,100,0,-205,-6.833,24.144,,,
Low_Risk:Flat-Bet,58,100,0,-147,-4.9,30.576,,,
Low_Risk:Flat-Bet,59,100,0,-184,-6.133,33.706,,,
Low_Risk:Flat-Bet,60,100,0,-191,-6.367,29.482,,,
Low_Risk:Flat-Bet,61,100,0,-187,-6.233,30.806,,,
Low_Risk:Flat-Bet,62,100,0,-193,-6.433,32.944,,,
Low_Risk:Flat-Bet,63,100,0,-173,-5.767,33.22,,,
Low_Risk:Flat-Bet,64,100,0,-143,-4.767,27.702,,,
Low_Risk:Flat-Bet,65,100,0,-191,-6.367,31.482,,,
Low_Risk:Flat-Bet,66,100,0,-169,-5.633,23.275,,,
Low_Risk:Flat-Bet,67,100,0,-244,-8.133,35.223,,,
Low_Risk:Flat-Bet,68,100,0,-216,-7.2,22.717,,,
Low_Risk:Flat-Bet,69,100,0,-207,-6.9,24.231,,,
Low_Risk:Flat-Bet,70,100,0,-155,-5.167,21.316,,,
Low_Risk:Flat-Bet,71,100,0,-233,-7.767,38.323,,,
Low_Risk:Flat-Bet,72,100,0,-187,-6.233,26.875,,,
Low_Risk:Flat-Bet,73,100,0,-222,-7.4,51.007,,,
Low_Risk:Flat-Bet,74,100,0,-152,-5.067,21.651,,,
Low_Risk:Flat-Bet,75,100,0,-170,-5.667,21.609,,,
Low_Risk:Flat-Bet,76,100,0,-201,-6.7,29.114,,,
Low_Risk:Flat-Bet,77,100,0,-188,-6.267,22.892,,,
Low_Risk:Flat-Bet,78,100,0,-215,-7.167,42.489,,,
Low_Risk:Flat-Bet,79,100,0,-218,-7.267,30.547,,,
Low_Risk:Flat-Bet,80,100,0,-211,-7.033,37.275,,,
Low_Risk:Flat-Bet,81,100,0,-240,-8,31.379,,,
Low_Risk:Flat-Bet,82,100,0,-195,-6.5,33.983,,,
Low_Risk:Flat-Bet,83,100,0,-232,-7.733,21.03,,,
