Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Fibonacci,0,43.033,659.826,-2512,-83.733,3937.099
Moderate_Risk:Fibonacci,1,48.033,861.551,-2142,-71.4,8460.11
Moderate_Risk:Fibonacci,2,52.567,931.151,-422,-14.067,44252.34
Moderate_Risk:Fibonacci,3,55.667,975.609,-498,-16.6,34880.8
Moderate_Risk:Fibonacci,4,61.767,1029.013,2363,78.767,124813.22
Moderate_Risk:Fibonacci,5,54.767,983.289,2094,69.8,194464.924
Moderate_Risk:Fibonacci,6,47.567,1157.702,2060,68.667,241099.54
Moderate_Risk:Fibonacci,7,52.033,1168.861,-1455,-48.5,26407.776
Moderate_Risk:Fibonacci,8,56.2,850.717,-1322,-44.067,17451.926
Moderate_Risk:Fibonacci,9,49.533,1029.016,-481,-16.033,32686.309
Moderate_Risk:Fibonacci,10,45.767,935.909,262,8.733,70471.513
Moderate_Risk:Fibonacci,11,48.067,928.961,-1316,-43.867,29732.809
Moderate_Risk:Fibonacci,12,52.433,819.84,-2158,-71.933,7617.72
Moderate_Risk:Fibonacci,13,44.7,831.321,-1762,-58.733,9347.168
Moderate_Risk:Fibonacci,14,51.2,858.579,761,25.367,228228.999
Moderate_Risk:Fibonacci,15,50.967,878.033,-754,-25.133,40808.671
Moderate_Risk:Fibonacci,16,55.133,811.637,-1847,-61.567,14741.909
Moderate_Risk:Fibonacci,17,48.933,889.995,-908,-30.267,35737.03
Moderate_Risk:Fibonacci,18,51.5,912.397,-96,-3.2,48697.062
Moderate_Risk:Fibonacci,19,37.467,805.016,-1932,-64.4,8616.731
Moderate_Risk:Fibonacci,20,47.9,976.852,-971,-32.367,29720.516
Moderate_Risk:Fibonacci,21,55.8,802.786,-1257,-41.9,18299.748
Moderate_Risk:Fibonacci,22,41.433,805.289,-2080,-69.333,8915.333
Moderate_Risk:Fibonacci,23,47.867,577.361,-2316,-77.2,7760.717
Moderate_Risk:Fibonacci,24,49.933,874.823,-2052,-68.4,12723.421
Moderate_Risk:Fibonacci,25,45.667,997.402,-1376,-45.867,25534.533
Moderate_Risk:Fibonacci,26,53.233,941.909,-1276,-42.533,27422.671
Moderate_Risk:Fibonacci,27,47.767,791.013,-1582,-52.733,43446.202
Moderate_Risk:Fibonacci,28,48.667,938.989,1480,49.333,423458.23
Moderate_Risk:Fibonacci,29,50.2,1116.855,75,2.5,32931.017
Moderate_Risk:Fibonacci,30,43.7,753.597,-2313,-77.1,7855.748
Moderate_Risk:Fibonacci,31,46.833,894.764,-5,-0.167,87445.178
Moderate_Risk:Fibonacci,32,51.867,1040.533,-179,-5.967,45900.516
Moderate_Risk:Fibonacci,33,53.1,905.059,-1345,-44.833,18998.626
Moderate_Risk:Fibonacci,34,50.967,869.757,-1121,-37.367,20991.413
Moderate_Risk:Fibonacci,35,52.033,1031.482,784,26.133,85299.43
Moderate_Risk:Fibonacci,36,51.467,1019.292,-208,-6.933,40374.34
Moderate_Risk:Fibonacci,37,52.533,662.395,-1876,-62.533,13449.016
Moderate_Risk:Fibonacci,38,56.233,1321.84,1136,37.867,51887.913
Moderate_Risk:Fibonacci,39,39.1,564.3,-2704,-90.133,2920.533
Moderate_Risk:Fibonacci,40,55.967,997.757,114,3.8,34055.476
Moderate_Risk:Fibonacci,41,54.167,1013.385,1042,34.733,102951.72
Moderate_Risk:Fibonacci,42,57.4,763.559,-1658,-55.267,11320.202
Moderate_Risk:Fibonacci,43,46.767,1020.737,-429,-14.3,44255.597
Moderate_Risk:Fibonacci,44,52.433,1064.806,-818,-27.267,24728.202
Moderate_Risk:Fibonacci,45,47.533,1031.154,-445,-14.833,48322.282
Moderate_Risk:Fibonacci,46,53.333,727.54,-2011,-67.033,11776.861
Moderate_Risk:Fibonacci,47,49.033,792.447,-157,-5.233,75350.461
Moderate_Risk:Fibonacci,48,46.033,753.344,-1116,-37.2,47739.131
Moderate_Risk:Fibonacci,49,51.9,1034.576,-492,-16.4,49910.593
Moderate_Risk:Fibonacci,50,45.567,670.737,-2046,-68.2,9966.441
Moderate_Risk:Fibonacci,51,49.967,952.24,-1439,-47.967,19361.62
Moderate_Risk:Fibonacci,52,46.3,660.355,-2694,-89.8,3121.2
Moderate_Risk:Fibonacci,53,50.4,625.145,-1245,-41.5,32188.052
Moderate_Risk:Fibonacci,54,58.567,1175.978,-12,-0.4,34622.11
Moderate_Risk:Fibonacci,55,44.767,1137.633,-650,-21.667,27676.92
Moderate_Risk:Fibonacci,56,49.633,956.723,400,13.333,85619.678
Moderate_Risk:Fibonacci,57,44.3,741.597,-2244,-74.8,8280.234
Moderate_Risk:Fibonacci,58,52.8,1099.821,-18,-0.6,40767.766
Moderate_Risk:Fibonacci,59,52.133,1101.085,168,5.6,64805.076
Moderate_Risk:Fibonacci,60,42.8,753.131,-1272,-42.4,22680.317
Moderate_Risk:Fibonacci,61,56.667,739.333,-1472,-49.067,14235.651
Moderate_Risk:Fibonacci,62,42.367,557.275,-2205,-73.5,10179.638
Moderate_Risk:Fibonacci,63,56.067,1296.616,-276,-9.2,30865.821
Moderate_Risk:Fibonacci,64,46.3,803.39,-2128,-70.933,13025.651
Moderate_Risk:Fibonacci,65,40.933,604.685,-1868,-62.267,13495.857
Moderate_Risk:Fibonacci,66,50.667,816.851,-1382,-46.067,21931.237
Moderate_Risk:Fibonacci,67,54.9,1215.886,-485,-16.167,21478.42
Moderate_Risk:Fibonacci,68,52.0,1058.414,-1070,-35.667,19182.713
Moderate_Risk:Fibonacci,69,53.1,872.852,-1579,-52.633,17168.861
Moderate_Risk:Fibonacci,70,45.967,961.413,-1496,-49.867,21277.637
Moderate_Risk:Fibonacci,71,47.667,733.471,-564,-18.8,53720.441
Moderate_Risk:Fibonacci,72,46.633,1163.344,846,28.2,95788.786
Moderate_Risk:Fibonacci,73,38.467,378.12,-2763,-92.1,1872.3
Moderate_Risk:Fibonacci,74,54.633,999.757,-340,-11.333,40073.816
Moderate_Risk:Fibonacci,75,48.9,1115.955,533,17.767,71113.495
Moderate_Risk:Fibonacci,76,54.633,977.413,-310,-10.333,33838.092
Moderate_Risk:Fibonacci,77,47.2,1231.131,855,28.5,57604.052
Moderate_Risk:Fibonacci,78,51.067,864.34,-893,-29.767,37353.978
Moderate_Risk:Fibonacci,79,51.8,1055.407,-200,-6.667,33471.195
Moderate_Risk:Fibonacci,80,42.8,616.786,-2046,-68.2,9529.407
Moderate_Risk:Fibonacci,81,47.633,944.378,-982,-32.733,26927.375
Moderate_Risk:Fibonacci,82,53.0,732.69,-1192,-39.733,42630.34
Moderate_Risk:Fibonacci,83,56.7,972.631,-1163,-38.767,17082.116
Moderate_Risk:Fibonacci,84,45.7,876.355,-2034,-67.8,16042.786
Moderate_Risk:Fibonacci,85,42.933,803.375,-1550,-51.667,26724.506
Moderate_Risk:Fibonacci,86,36.267,594.892,-2724,-90.8,2539.2
Moderate_Risk:Fibonacci,87,43.1,745.128,-2447,-81.567,10193.633
Moderate_Risk:Fibonacci,88,48.767,855.84,-1559,-51.967,25224.93
Moderate_Risk:Fibonacci,89,52.0,1021.655,-125,-4.167,48856.695
Moderate_Risk:Fibonacci,90,44.6,1008.938,-208,-6.933,59986.133
Moderate_Risk:Fibonacci,91,55.833,1076.695,-45,-1.5,41198.603
Moderate_Risk:Fibonacci,92,45.667,808.368,-1030,-34.333,49628.644
Moderate_Risk:Fibonacci,93,58.933,873.926,-1264,-42.133,16726.671
Moderate_Risk:Fibonacci,94,55.8,961.062,-542,-18.067,32332.616
