Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Fibonacci,0,93.033,365.964,-429.0,-14.3,1930.493
Moderate_Risk:Fibonacci,1,98.267,45.237,-197.5,-6.583,880.398
Moderate_Risk:Fibonacci,2,93.7,398.01,-570.90625,-19.03,1551.17
Moderate_Risk:Fibonacci,3,95.667,311.678,-402.25,-13.408,1089.261
Moderate_Risk:Fibonacci,4,97.867,127.982,-430.625,-14.354,1013.701
Moderate_Risk:Fibonacci,5,95.567,184.53,-204.375,-6.812,1412.193
Moderate_Risk:Fibonacci,6,94.5,292.879,-507.875,-16.929,1608.069
Moderate_Risk:Fibonacci,7,96.3,100.838,-379.0,-12.633,1395.516
Moderate_Risk:Fibonacci,8,91.367,540.309,-625.5,-20.85,1527.158
Moderate_Risk:Fibonacci,9,89.733,530.754,-925.125,-30.837,2101.426
Moderate_Risk:Fibonacci,10,98.967,32.033,-399.25,-13.308,749.822
Moderate_Risk:Fibonacci,11,99.3,5.872,-347.0,-11.567,1134.857
Moderate_Risk:Fibonacci,12,94.2,196.166,-626.0,-20.867,1780.223
Moderate_Risk:Fibonacci,13,96.2,184.166,-313.25,-10.442,1570.438
Moderate_Risk:Fibonacci,14,88.567,584.806,-751.5,-25.05,1885.023
Moderate_Risk:Fibonacci,15,92.467,449.292,-398.375,-13.279,1477.191
Moderate_Risk:Fibonacci,16,96.5,160.879,-353.25,-11.775,1457.838
Moderate_Risk:Fibonacci,17,97.433,197.633,-275.875,-9.196,740.758
Moderate_Risk:Fibonacci,18,91.0,420.897,-706.5,-23.55,2002.92
Moderate_Risk:Fibonacci,19,98.9,36.3,-242.5,-8.083,887.661
Moderate_Risk:Fibonacci,20,88.567,588.461,-797.0,-26.567,1596.582
Moderate_Risk:Fibonacci,21,97.667,94.368,-246.0,-8.2,932.528
Moderate_Risk:Fibonacci,22,94.333,259.471,-720.5,-24.017,1749.112
Moderate_Risk:Fibonacci,23,94.733,191.857,-584.5,-19.483,1504.353
Moderate_Risk:Fibonacci,24,98.9,36.3,-215.75,-7.192,907.826
Moderate_Risk:Fibonacci,25,98.467,37.43,-382.5,-12.75,922.375
Moderate_Risk:Fibonacci,26,93.833,332.902,-358.5,-11.95,1686.605
Moderate_Risk:Fibonacci,27,96.767,191.22,-294.0,-9.8,1201.631
Moderate_Risk:Fibonacci,28,92.333,379.195,-569.6875,-18.99,1897.204
Moderate_Risk:Fibonacci,29,98.267,49.099,-174.5,-5.817,928.526
Moderate_Risk:Fibonacci,30,98.133,72.809,-369.0,-12.3,1134.791
Moderate_Risk:Fibonacci,31,97.867,67.016,-328.25,-10.942,1141.507
Moderate_Risk:Fibonacci,32,97.567,177.633,-70.0,-2.333,770.92
Moderate_Risk:Fibonacci,33,92.533,409.568,-793.25,-26.442,1597.688
Moderate_Risk:Fibonacci,34,96.7,165.321,-207.5,-6.917,897.398
Moderate_Risk:Fibonacci,35,100.0,0.0,-41.625,-1.387,687.487
Moderate_Risk:Fibonacci,36,89.433,651.082,-790.0,-26.333,1736.407
Moderate_Risk:Fibonacci,37,92.033,447.344,-644.25,-21.475,1880.165
Moderate_Risk:Fibonacci,38,97.867,65.982,-228.5,-7.617,850.322
Moderate_Risk:Fibonacci,39,98.167,49.523,-322.25,-10.742,954.623
Moderate_Risk:Fibonacci,40,96.4,197.628,-431.5,-14.383,977.374
Moderate_Risk:Fibonacci,41,93.2,333.614,-454.0,-15.133,1826.826
Moderate_Risk:Fibonacci,42,92.233,429.84,-462.25,-15.408,1604.14
Moderate_Risk:Fibonacci,43,96.7,157.872,-231.75,-7.725,896.562
Moderate_Risk:Fibonacci,44,99.033,28.033,-157.75,-5.258,535.64
Moderate_Risk:Fibonacci,45,93.3,232.079,-712.5,-23.75,1755.961
Moderate_Risk:Fibonacci,46,95.933,259.444,-229.5,-7.65,910.365
Moderate_Risk:Fibonacci,47,94.9,269.472,-536.5,-17.883,1411.736
Moderate_Risk:Fibonacci,48,94.167,492.833,-287.25,-9.575,1195.479
Moderate_Risk:Fibonacci,49,92.5,354.879,-455.0,-15.167,1663.678
Moderate_Risk:Fibonacci,50,97.567,177.633,-107.5,-3.583,580.364
Moderate_Risk:Fibonacci,51,95.0,327.172,-338.75,-11.292,1345.414
Moderate_Risk:Fibonacci,52,91.6,407.214,-471.5,-15.717,1602.064
Moderate_Risk:Fibonacci,53,89.867,522.671,-531.0,-17.7,2051.614
Moderate_Risk:Fibonacci,54,97.6,172.8,-295.0,-9.833,903.213
