Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Martingale,0,44.667,1133.264,-1358,-45.267,20417.168
Moderate_Risk:Martingale,1,35.1,846.852,-2115,-70.5,9160.19
Moderate_Risk:Martingale,2,45.867,1366.533,-520,-17.333,29127.885
Moderate_Risk:Martingale,3,45.533,1110.326,-432,-14.4,30945.076
Moderate_Risk:Martingale,4,50.233,1173.357,-321,-10.7,29833.803
Moderate_Risk:Martingale,5,36.233,1027.84,-1012,-33.733,34311.444
Moderate_Risk:Martingale,6,37.9,747.472,-1637,-54.567,21002.737
Moderate_Risk:Martingale,7,54.967,1284.171,-359,-11.967,27740.171
Moderate_Risk:Martingale,8,48.2,1181.338,-635,-21.167,27708.626
Moderate_Risk:Martingale,9,43.567,1059.289,-1079,-35.967,29661.068
Moderate_Risk:Martingale,10,43.233,1240.875,-271,-9.033,40010.309
Moderate_Risk:Martingale,11,48.367,992.171,-405,-13.5,42864.879
Moderate_Risk:Martingale,12,41.5,991.293,-1187,-39.567,26829.151
Moderate_Risk:Martingale,13,46.033,1043.344,-473,-15.767,30063.495
Moderate_Risk:Martingale,14,34.133,759.085,-1779,-59.3,15823.666
Moderate_Risk:Martingale,15,54.167,1211.523,510,17.0,41808.138
Moderate_Risk:Martingale,16,49.167,1365.868,-442,-14.733,25240.892
Moderate_Risk:Martingale,17,40.133,975.499,-1799,-59.967,15205.964
Moderate_Risk:Martingale,18,52.7,1455.872,103,3.433,35142.185
Moderate_Risk:Martingale,19,40.133,984.809,-1189,-39.633,24914.723
Moderate_Risk:Martingale,20,48.367,1206.723,-903,-30.1,29699.541
Moderate_Risk:Martingale,21,43.4,1062.662,-1511,-50.367,16798.516
Moderate_Risk:Martingale,22,39.633,1316.999,-848,-28.267,27039.995
Moderate_Risk:Martingale,23,41.4,1186.731,-149,-4.967,51379.137
Moderate_Risk:Martingale,24,54.567,1391.426,1009,33.633,49022.723
Moderate_Risk:Martingale,25,55.867,1241.223,-243,-8.1,30086.231
Moderate_Risk:Martingale,26,53.467,1253.223,-523,-17.433,31182.806
Moderate_Risk:Martingale,27,43.567,1213.564,-1159,-38.633,20379.275
Moderate_Risk:Martingale,28,44.467,1206.326,-512,-17.067,30304.133
Moderate_Risk:Martingale,29,38.967,1161.895,-658,-21.933,42152.064
Moderate_Risk:Martingale,30,37.9,1123.472,-1284,-42.8,30030.924
Moderate_Risk:Martingale,31,49.867,1324.809,-223,-7.433,30351.495
Moderate_Risk:Martingale,32,49.433,1033.426,-241,-8.033,35979.964
Moderate_Risk:Martingale,33,42.767,1215.013,-1104,-36.8,23910.372
Moderate_Risk:Martingale,34,44.5,1142.19,-1677,-55.9,11636.921
Moderate_Risk:Martingale,35,48.5,1179.776,-1018,-33.933,20114.133
Moderate_Risk:Martingale,36,47.333,1090.023,-1236,-41.2,23633.545
Moderate_Risk:Martingale,37,44.467,1036.602,-1480,-49.333,16679.747
Moderate_Risk:Martingale,38,47.2,953.338,-953,-31.767,26694.53
Moderate_Risk:Martingale,39,52.567,1360.254,280,9.333,47235.402
Moderate_Risk:Martingale,40,46.567,1245.84,-402,-13.4,35958.593
Moderate_Risk:Martingale,41,49.767,933.84,-753,-25.1,30796.714
Moderate_Risk:Martingale,42,55.033,1550.792,1036,34.533,41931.568
Moderate_Risk:Martingale,43,52.3,1186.907,-533,-17.767,29522.254
