Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Martingale,0,85.233,884.875,-504.75,-16.825,2876.307
Moderate_Risk:Martingale,1,88.067,695.582,-657.375,-21.913,3317.553
Moderate_Risk:Martingale,2,90.067,423.582,-515.125,-17.171,3401.315
Moderate_Risk:Martingale,3,83.4,904.041,-1137.1875,-37.906,3206.014
Moderate_Risk:Martingale,4,96.067,192.754,-115.71875,-3.857,2653.79
Moderate_Risk:Martingale,5,93.267,324.202,-370.625,-12.354,3089.91
Moderate_Risk:Martingale,6,89.867,358.189,-827.0,-27.567,3046.845
Moderate_Risk:Martingale,7,93.967,353.482,-483.125,-16.104,2111.746
Moderate_Risk:Martingale,8,85.033,820.585,-750.0,-25.0,3099.556
Moderate_Risk:Martingale,9,88.8,496.51,-848.625,-28.288,3014.745
Moderate_Risk:Martingale,10,90.033,433.551,-649.5,-21.65,3102.886
Moderate_Risk:Martingale,11,86.733,723.237,-376.25,-12.542,4334.621
Moderate_Risk:Martingale,12,93.667,387.264,-110.25,-3.675,2984.32
Moderate_Risk:Martingale,13,90.367,413.206,-633.25,-21.108,3279.964
Moderate_Risk:Martingale,14,81.567,924.875,-914.625,-30.488,3103.166
Moderate_Risk:Martingale,15,91.1,412.99,-513.75,-17.125,2777.99
Moderate_Risk:Martingale,16,89.8,609.614,-148.5,-4.95,2353.467
Moderate_Risk:Martingale,17,94.633,417.275,167.25,5.575,1768.634
Moderate_Risk:Martingale,18,79.667,1122.782,-764.25,-25.475,3671.316
Moderate_Risk:Martingale,19,89.067,480.961,-651.875,-21.729,2675.261
Moderate_Risk:Martingale,20,92.167,330.695,-516.0,-17.2,2437.916
Moderate_Risk:Martingale,21,94.933,255.168,-40.0,-1.333,2190.665
Moderate_Risk:Martingale,22,82.667,810.989,-857.75,-28.592,3375.649
Moderate_Risk:Martingale,23,80.933,1044.271,-889.875,-29.663,3337.484
Moderate_Risk:Martingale,24,89.867,306.74,-867.75,-28.925,3345.371
Moderate_Risk:Martingale,25,86.467,675.982,-408.75,-13.625,3323.348
Moderate_Risk:Martingale,26,83.4,771.421,-449.75,-14.992,4488.485
Moderate_Risk:Martingale,27,85.767,686.599,-520.5,-17.35,3565.153
Moderate_Risk:Martingale,28,86.8,666.166,-400.625,-13.354,4098.625
Moderate_Risk:Martingale,29,95.3,224.01,-169.5,-5.65,1805.662
Moderate_Risk:Martingale,30,88.9,600.231,-558.5,-18.617,3969.581
Moderate_Risk:Martingale,31,91.167,553.109,-194.5,-6.483,2141.564
Moderate_Risk:Martingale,32,87.1,788.093,-526.75,-17.558,2848.645
Moderate_Risk:Martingale,33,92.2,341.545,-464.25,-15.475,2625.601
Moderate_Risk:Martingale,34,87.1,681.886,-350.5,-11.683,3665.875
Moderate_Risk:Martingale,35,80.7,1079.183,-767.0,-25.567,3799.215
Moderate_Risk:Martingale,36,82.3,1010.424,-603.0,-20.1,3715.283
Moderate_Risk:Martingale,37,92.167,476.626,-515.0,-17.167,2390.351
Moderate_Risk:Martingale,38,82.067,985.926,-592.5625,-19.752,3460.427
Moderate_Risk:Martingale,39,93.233,430.875,-81.5,-2.717,2431.499
Moderate_Risk:Martingale,40,89.8,574.028,-347.75,-11.592,2361.67
Moderate_Risk:Martingale,41,95.6,181.076,64.25,2.142,2550.887
Moderate_Risk:Martingale,42,82.867,975.223,-836.0,-27.867,3444.417
Moderate_Risk:Martingale,43,84.467,785.982,-676.5,-22.55,3299.041
Moderate_Risk:Martingale,44,92.5,293.914,-666.75,-22.225,3082.506
Moderate_Risk:Martingale,45,90.3,447.734,-575.5,-19.183,3398.78
Moderate_Risk:Martingale,46,82.9,925.403,-535.0,-17.833,3629.045
Moderate_Risk:Martingale,47,87.2,777.338,-534.5,-17.817,2463.702
Moderate_Risk:Martingale,48,93.4,235.49,-361.0,-12.033,3361.96
Moderate_Risk:Martingale,49,88.633,665.689,-152.25,-5.075,3038.742
Moderate_Risk:Martingale,50,93.233,323.082,-298.5,-9.95,2746.89
Moderate_Risk:Martingale,51,97.833,47.109,-61.25,-2.042,3056.995
Moderate_Risk:Martingale,52,92.467,525.775,73.0,2.433,2894.724
Moderate_Risk:Martingale,53,89.7,704.355,-446.125,-14.871,3411.21
Moderate_Risk:Martingale,54,86.767,933.84,-293.25,-9.775,2425.514
Moderate_Risk:Martingale,55,81.633,935.482,-664.25,-22.142,3624.766
Moderate_Risk:Martingale,56,86.4,655.49,-699.125,-23.304,3201.388
Moderate_Risk:Martingale,57,75.667,1109.264,-1130.5,-37.683,3393.56
Moderate_Risk:Martingale,58,92.833,411.178,-215.75,-7.192,2369.494
Moderate_Risk:Martingale,59,87.133,736.878,-501.25,-16.708,2624.746
Moderate_Risk:Martingale,60,87.267,540.202,-936.0,-31.2,2907.105
Moderate_Risk:Martingale,61,95.867,176.878,-258.25,-8.608,1913.313
Moderate_Risk:Martingale,62,81.7,998.148,-842.875,-28.096,3116.773
Moderate_Risk:Martingale,63,88.3,685.941,-329.25,-10.975,2913.609
Moderate_Risk:Martingale,64,86.9,695.61,-796.875,-26.562,2833.807
Moderate_Risk:Martingale,65,84.7,962.631,-552.5,-18.417,2789.851
Moderate_Risk:Martingale,66,88.7,693.803,-398.25,-13.275,2157.325
Moderate_Risk:Martingale,67,92.167,363.73,-153.5,-5.117,2920.387
